ID,Code,Name,Coordinates,Description,Zone ID,URL,Location Type,Parent Station ID,Timezone,Wheelchair Boarding
S09074,,Bus Terminal Transfer Point Platform 4,"44.25851, -76.50624",,,,,,,0
09076,,Douglas Avenue (south side of Elliott),"44.25596, -76.50403",,,,,,,0
02021,,Division Street (south side of Elliott),"44.25626, -76.49763",,,,,,,0
00070,,Fraser Street (west side of Division),"44.24533, -76.49554",,,,,,,0
00288,,Adelaide Street (west side of Division),"44.24093, -76.49485",,,,,,,0
00280,,Colborne Street (west side of Division),"44.23475, -76.49348",,,,,,,0
00297,,Johnson Street (west side of Bagot),"44.22983, -76.4855",,,,,,,0
S00451,,Francis Street (south side of Churchill),"44.22257, -76.52163",,,,,,,0
02056,,Johnson Street (east side of Yonge),"44.23046, -76.5184",,,,,,,0
00484,,Silver Street (east side of Roden),"44.23195, -76.52259",,,,,,,0
00479,,Byron Crescent (east side of Norman Rogers),"44.2363, -76.52301",,,,,,,0
00474,,MacPherson Avenue (west side of Van Order),"44.23563, -76.51799",,,,,,,0
00473,,Norman Rogers Drive (west side of Van Order),"44.23381, -76.51625",,,,,,,0
00472,,Van Order Drive (north side of Norman Rogers),"44.23381, -76.51593",,,,,,,0
00476,,Casterton Avenue (west side of Norman Rogers),"44.23775, -76.52331",,,,,,,0
00478,,306 Norman Rogers Drive (west side),"44.23655, -76.52319",,,,,,,0
00480,,Mulcaster Street (west side of Norman Rogers),"44.23529, -76.52308",,,,,,,0
00448,,Mowat Avenue (north side of Forsythe),"44.22693, -76.52053",,,,,,,0
00436,,Beverley Street (south side of Union),"44.22663, -76.50261",,,,,,,0
00300,,Earl Street (east side of Bagot),"44.22844, -76.48647",,,,,,,0
00287,,Adelaide Street (east side of Division),"44.24078, -76.49462",,,,,,,0
00234,,Kingston Police (east side of Division),"44.25018, -76.4961",,,,,,,0
00216,,Derby Gate Crescent (north side of Elliott),"44.25637, -76.4986",,,,,,,0
00746,,First Canada Avenue (east side of Division),"44.26366, -76.49817",,,,,,,0
00163,,Abbey Dale Court (south side of Conacher),"44.26655, -76.48435",,,,,,,0
00159,,Guthrie Drive (south side of Virginia),"44.2712, -76.48351",,,,,,,0
00454,,Seniors Centre (west side of Francis),"44.22447, -76.52193",,,,,,,0
00175,,Greer Street (west side of Montreal),"44.26617, -76.47869",,,,,,,0
S09056,,Weller Avenue (west side of First Canada),"44.26258, -76.49711",,,,,,,0
02018,,Worthington Park (south side of Weller),"44.26165, -76.49313",,,,,,,0
00202,,Compton Street (south side of Weller),"44.26186, -76.49003",,,,,,,0
00191,,Montreal Street (south side of Drennan),"44.26091, -76.48144",,,,,,,0
00224,,Hickson Avenue (west side of Montreal),"44.25268, -76.48522",,,,,,,0
02025,,Railway Street (west side of Montreal),"44.24802, -76.48706",,,,,,,0
00054,,Joseph Street (west side of Montreal),"44.24582, -76.48747",,,,,,,0
00254,,Charles Street (west side of Montreal),"44.2401, -76.48653",,,,,,,0
02030,,Rideaucrest Home (west side of Rideau),"44.23778, -76.48287",,,,,,,0
00261,,Rideau Street (south side of North),"44.23693, -76.48282",,,,,,,0
00259,,Rideaucrest Home (east side of Rideau),"44.23808, -76.48276",,,,,,,0
00223,,Hickson Avenue (east side of Montreal),"44.25276, -76.48494",,,,,,,0
00212,,Briceland Street (east side of Montreal),"44.25959, -76.48168",,,,,,,0
00192,,Daly Street (north side of Drennan),"44.26116, -76.48231",,,,,,,0
00194,,Wilson Street (north side of Drennan),"44.26086, -76.48657",,,,,,,0
00148,,Sheppard Street (east side of Montreal),"44.273, -76.47739",,,,,,,0
00835,,Aberfoyle Road (south side of John Counter),"44.25883, -76.52193",,,,,,,0
00833,,MTO Office (south side of John Counter),"44.25889, -76.51422",,,,,,,0
00846,,Van Order Drive (east side of Portsmouth),"44.23783, -76.52823",,,,,,,0
00375,,Fairview Road (east side of Portsmouth),"44.24435, -76.52922",,,,,,,0
00376,,Valleyview Avenue (east side of Portsmouth),"44.24654, -76.52936",,,,,,,0
00080,,Givenchy Street (south side of Craftsman),"44.24334, -76.4513",,,,,,,0
00059,,Moro Street (south side of Craftsman),"44.24403, -76.44272",,,,,,,0
00084,,Batoche Avenue (north side of Lundy's),"44.23798, -76.44851",,,,,,,0
00083,,49 Lundy's Lane (north side),"44.23769, -76.45115",,,,,,,0
