CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CYCLE_WIDTH,GeoJSON,geo_point_2d
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5704997, 44.231832], [-76.5706315, 44.233172], [-76.5707706, 44.2345191]], ""type"": ""LineString""}","44.233175714265805, -76.5706335205071"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5706044, 44.2318248], [-76.570472, 44.2304576], [-76.5703922, 44.2296571], [-76.5703282, 44.2291191], [-76.5702734, 44.2284782]], ""type"": ""LineString""}","44.230151469338516, -76.57043873863353"
Route - Signed + Sharrows,Sharrows,Constructed,,,"{""coordinates"": [[-76.4930773, 44.2312712], [-76.4912504, 44.231001]], ""type"": ""LineString""}","44.2311361, -76.49216385"
Route - Signed + Sharrows,Sharrows,Constructed,,,"{""coordinates"": [[-76.4875417, 44.2304489], [-76.4856866, 44.2301932], [-76.4853386, 44.2301179]], ""type"": ""LineString""}","44.23029460990498, -76.48643816760321"
Route - Signed + Sharrows,Sharrows,Constructed,,,"{""coordinates"": [[-76.4874624, 44.2314113], [-76.4877336, 44.2314584], [-76.489132, 44.2316682]], ""type"": ""LineString""}","44.2315423700963, -76.48829677599362"
Route - Signed + Sharrows,Sharrows,Constructed,,,"{""coordinates"": [[-76.4911258, 44.2319703], [-76.4926072, 44.2321844]], ""type"": ""LineString""}","44.23207735, -76.4918665"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5697386, 44.2230771], [-76.569661, 44.2223278]], ""type"": ""LineString""}","44.22270244999999, -76.5696998"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.5863532, 44.2554857], [-76.5860472, 44.2557065], [-76.5850035, 44.2564607], [-76.584722, 44.2567232], [-76.584534, 44.2569352], [-76.5843949, 44.2571322], [-76.5843007, 44.2573172], [-76.584228, 44.257509], [-76.5841537, 44.2577787], [-76.5840813, 44.2581184]], ""type"": ""LineString""}","44.25664967458742, -76.58500631336952"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.4790246, 44.2711696], [-76.4791068, 44.2710571], [-76.4792557, 44.270823], [-76.4793112, 44.2707094], [-76.4793623, 44.2705958], [-76.4794043, 44.2704808], [-76.4794329, 44.2703692], [-76.4794593, 44.2702608], [-76.4794796, 44.2699944], [-76.4794723, 44.2698817], [-76.4794224, 44.2695953]], ""type"": ""LineString""}","44.27041188602985, -76.4793503828964"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.4794224, 44.2695953], [-76.4793298, 44.2691645], [-76.4792641, 44.2689726], [-76.4791977, 44.2687019]], ""type"": ""LineString""}","44.26914740946835, -76.47931480608202"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.4791647, 44.2684512], [-76.4790338, 44.2678299], [-76.4788632, 44.2671145], [-76.478676, 44.2662687]], ""type"": ""LineString""}","44.26735960067579, -76.47892200599688"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.4800107, 44.2624232], [-76.4801579, 44.2623006], [-76.4804104, 44.2620796], [-76.4805202, 44.2619847], [-76.4806232, 44.2618866], [-76.4807149, 44.2617854], [-76.4809112, 44.2615587], [-76.480989, 44.2614432], [-76.4810646, 44.2613245], [-76.4811164, 44.2612432], [-76.4812212, 44.2610469]], ""type"": ""LineString""}","44.26177965622601, -76.48066900097727"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.48192, 44.2595522], [-76.4820902, 44.2591307], [-76.4823602, 44.2585354], [-76.4825879, 44.2580371]], ""type"": ""LineString""}","44.2587917067691, -76.48224710991973"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.481143, 44.2609448], [-76.4810338, 44.2611543], [-76.4809152, 44.2613429], [-76.4808068, 44.2614959], [-76.4806911, 44.2616248], [-76.4804922, 44.2618338], [-76.4800485, 44.2622152], [-76.4794157, 44.2627556]], ""type"": ""LineString""}","44.2619062319847, -76.48034502460958"
Route,,Constructed,,,"{""coordinates"": [[-76.5071898, 44.2215829], [-76.5081873, 44.2215124]], ""type"": ""LineString""}","44.221547650000005, -76.50768855000001"
Route,,Constructed,,,"{""coordinates"": [[-76.5084672, 44.221501], [-76.5093878, 44.2214374]], ""type"": ""LineString""}","44.2214692, -76.5089275"
Route,,Constructed,,,"{""coordinates"": [[-76.5109902, 44.2213191], [-76.5116588, 44.2212717]], ""type"": ""LineString""}","44.2212954, -76.5113245"
Route,,Constructed,,,"{""coordinates"": [[-76.5160844, 44.2209458], [-76.5174342, 44.2208994]], ""type"": ""LineString""}","44.2209226, -76.51675929999999"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,1.5,"{""coordinates"": [[-76.58951, 44.2505319], [-76.5888536, 44.2519274], [-76.5886454, 44.2523919], [-76.5885194, 44.2526638]], ""type"": ""LineString""}","44.251596507179705, -76.58901178731408"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.5885368, 44.2529377], [-76.5881033, 44.2538241], [-76.5878974, 44.2541529], [-76.5877171, 44.2544012], [-76.5875111, 44.2546542], [-76.5872572, 44.2549179], [-76.5870071, 44.2551385], [-76.5868339, 44.2552782]], ""type"": ""LineString""}","44.25418477174248, -76.58778695935504"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4797968, 44.2625991], [-76.4799138, 44.2625062]], ""type"": ""LineString""}","44.26255265, -76.4798553"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,1.5,"{""coordinates"": [[-76.5892517, 44.2514285], [-76.5896956, 44.2505576]], ""type"": ""LineString""}","44.250993050000005, -76.58947365"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5587385, 44.2573046], [-76.5587194, 44.2574106], [-76.5587105, 44.2575237], [-76.5587318, 44.2580308]], ""type"": ""LineString""}","44.257666944557954, -76.55872133763081"
Buffered Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,1.5,"{""coordinates"": [[-76.5020756, 44.2372026], [-76.5030312, 44.237598]], ""type"": ""LineString""}","44.237400300000004, -76.5025534"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.554824, 44.2491008], [-76.5548438, 44.249172], [-76.5549067, 44.249597]], ""type"": ""LineString""}","44.24934808707717, -76.55486918117953"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5298195, 44.2514908], [-76.5297293, 44.2498117]], ""type"": ""LineString""}","44.250651250000004, -76.52977440000001"
Bike Lane,,Proposed,,,"{""coordinates"": [[-76.611103, 44.2570081], [-76.6110991, 44.2572892], [-76.6110744, 44.257598], [-76.6109839, 44.2579852], [-76.610874, 44.2582714], [-76.610758, 44.2585125], [-76.6106218, 44.2587454], [-76.6104943, 44.2589295], [-76.6103937, 44.2590714], [-76.610203, 44.2593111], [-76.6100936, 44.2594193]], ""type"": ""LineString""}","44.25828092157935, -76.61076604822249"
Paved Shoulder,,Constructed,Lane Widening for Cycling Routes,1.5,"{""coordinates"": [[-76.5008789, 44.2777158], [-76.5011725, 44.2785028], [-76.501284, 44.2787383], [-76.5017559, 44.2799517], [-76.501806, 44.2800964], [-76.5018823, 44.280355], [-76.5019946, 44.2807299], [-76.5020501, 44.2809555], [-76.5021432, 44.2813568], [-76.5022044, 44.2816752], [-76.5022593, 44.2820103], [-76.5022937, 44.2823172], [-76.5023483, 44.2829], [-76.502358, 44.28315], [-76.502365, 44.2834239], [-76.5023332, 44.284258], [-76.502298, 44.2848278], [-76.5022241, 44.2853099], [-76.5021666, 44.2856585], [-76.5018827, 44.2868794], [-76.5014282, 44.288822], [-76.5013767, 44.2891442], [-76.5013386, 44.2894711], [-76.5013272, 44.2899334], [-76.5014472, 44.2915206], [-76.5019188, 44.2979466], [-76.5019331, 44.2982489], [-76.5019071, 44.2985304], [-76.5018461, 44.2988694], [-76.5017153, 44.2993309], [-76.5013666, 44.3003573], [-76.5005652, 44.3027273], [-76.500479, 44.3031215], [-76.5004245, 44.3035843], [-76.5003952, 44.3041302], [-76.5003982, 44.3045065], [-76.5004816, 44.3050461], [-76.5005757, 44.3054855], [-76.5006994, 44.3060413], [-76.5013544, 44.3088809], [-76.5020598, 44.3114802], [-76.5021379, 44.3118079], [-76.5021948, 44.3120906], [-76.5022457, 44.3123925], [-76.5022952, 44.313035], [-76.5026537, 44.3200695], [-76.5028889, 44.3246067], [-76.5033969, 44.3315364], [-76.5034477, 44.3321611], [-76.5041992, 44.3411528]], ""type"": ""LineString""}","44.30927267095207, -76.50224332484709"
Buffered Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5300051, 44.256285], [-76.5300197, 44.2565544], [-76.5300172, 44.2566096], [-76.5300126, 44.2566642], [-76.5300056, 44.2567183], [-76.5299958, 44.256772], [-76.529983, 44.2568254], [-76.5299669, 44.2568786], [-76.5299473, 44.2569317], [-76.5299238, 44.2569848], [-76.5298961, 44.2570381], [-76.529864, 44.2570917], [-76.5298272, 44.2571456], [-76.5297854, 44.2572], [-76.5297383, 44.257255], [-76.5296856, 44.2573107], [-76.5296271, 44.2573672], [-76.5295624, 44.2574246], [-76.5288663, 44.2579621], [-76.5287574, 44.2580681], [-76.5286633, 44.2581812], [-76.5285846, 44.2583001], [-76.5285221, 44.2584238], [-76.5284541, 44.2587716]], ""type"": ""LineString""}","44.257557227136616, -76.52931171549385"
Buffered Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5286935, 44.2587989], [-76.5286889, 44.25869], [-76.5286979, 44.2585811], [-76.5287204, 44.2584732], [-76.5287562, 44.2583671], [-76.5288051, 44.2582636], [-76.5288667, 44.2581636], [-76.5289404, 44.2580679], [-76.5290256, 44.2579773], [-76.5291218, 44.2578924], [-76.5292281, 44.257814], [-76.5297072, 44.2574296], [-76.5297327, 44.2574088], [-76.5297619, 44.2573817], [-76.529794, 44.2573489], [-76.5298283, 44.2573106], [-76.529864, 44.2572674], [-76.5299004, 44.2572194], [-76.5299367, 44.2571671], [-76.529972, 44.2571109], [-76.5300057, 44.2570511], [-76.530037, 44.2569881], [-76.5300651, 44.2569223], [-76.5300892, 44.256854], [-76.5301086, 44.2567836], [-76.5301225, 44.2567115], [-76.5301301, 44.256638], [-76.5301307, 44.2565635], [-76.5300969, 44.2561503]], ""type"": ""LineString""}","44.25750765034301, -76.52949069902527"
Bike Lane,,Constructed,,,"{""coordinates"": [[-76.4601427, 44.2593036], [-76.4601494, 44.2593083], [-76.4601683, 44.2593331], [-76.4601859, 44.2593769], [-76.4601221, 44.2597434], [-76.4601222, 44.2598172], [-76.4601307, 44.2599096]], ""type"": ""LineString""}","44.259600387253485, -76.46014803310416"
Bike Lane,,Constructed,,,"{""coordinates"": [[-76.459491, 44.2592893], [-76.4597046, 44.259283], [-76.4599841, 44.259258], [-76.4600523, 44.2592678], [-76.4601207, 44.2592884], [-76.4601427, 44.2593036]], ""type"": ""LineString""}","44.25927661661072, -76.45982057274047"
Bike Lane,,Constructed,,,"{""coordinates"": [[-76.4606052, 44.2589708], [-76.4605298, 44.2588807], [-76.4605174, 44.2588415], [-76.4605276, 44.2585853], [-76.4605226, 44.2585186], [-76.4604844, 44.2582463]], ""type"": ""LineString""}","44.258619884273955, -76.46052287217127"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.5048871, 44.2559716], [-76.5040396, 44.2560113]], ""type"": ""LineString""}","44.255991449999996, -76.50446335"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.5100848, 44.232525], [-76.5109683, 44.23248]], ""type"": ""LineString""}","44.2325025, -76.51052655000001"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.8,"{""coordinates"": [[-76.4955329, 44.2316372], [-76.4943789, 44.2314653]], ""type"": ""LineString""}","44.23155125, -76.49495590000001"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.8,"{""coordinates"": [[-76.5109368, 44.2311203], [-76.5100159, 44.2311663]], ""type"": ""LineString""}","44.2311433, -76.51047635"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.8,"{""coordinates"": [[-76.4987768, 44.2329024], [-76.5001887, 44.2328576]], ""type"": ""LineString""}","44.23288, -76.49948275"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.8,"{""coordinates"": [[-76.4985006, 44.2315712], [-76.4972329, 44.2316141]], ""type"": ""LineString""}","44.231592649999996, -76.49786675"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.5029189, 44.2328164], [-76.5038441, 44.2327851]], ""type"": ""LineString""}","44.232800749999996, -76.50338149999999"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.5003972, 44.2328501], [-76.5014184, 44.2328141]], ""type"": ""LineString""}","44.232832099999996, -76.5009078"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.8,"{""coordinates"": [[-76.49419, 44.2314351], [-76.4933386, 44.2313057]], ""type"": ""LineString""}","44.23137040000001, -76.49376430000001"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.4958241, 44.2326767], [-76.4971128, 44.232867]], ""type"": ""LineString""}","44.23277185, -76.49646845"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.3,"{""coordinates"": [[-76.5048741, 44.2313692], [-76.5040366, 44.2313981]], ""type"": ""LineString""}","44.23138365, -76.50445534999999"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.4929015, 44.2322395], [-76.4955637, 44.232637]], ""type"": ""LineString""}","44.23243825, -76.4942326"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,,1.8,"{""coordinates"": [[-76.5000208, 44.2315239], [-76.4987562, 44.2315632]], ""type"": ""LineString""}","44.23154355, -76.49938850000001"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,,"{""coordinates"": [[-76.5527705, 44.2498223], [-76.553041, 44.2498066], [-76.5532707, 44.2497933], [-76.5536784, 44.249788], [-76.5539658, 44.2497928], [-76.5542481, 44.2498085], [-76.5545328, 44.2498332], [-76.5547348, 44.2498569]], ""type"": ""LineString""}","44.24980642071628, -76.55375337943829"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,,"{""coordinates"": [[-76.5527427, 44.2496601], [-76.5526551, 44.2496677], [-76.552572, 44.2496757], [-76.5524928, 44.2496841], [-76.5524172, 44.2496928], [-76.5523446, 44.2497019], [-76.5522747, 44.2497114], [-76.5522069, 44.2497211], [-76.5521407, 44.2497313], [-76.5520758, 44.2497418], [-76.5520116, 44.2497527], [-76.5519476, 44.2497639], [-76.5518835, 44.2497755], [-76.5518187, 44.2497874], [-76.5517528, 44.2497997], [-76.5516853, 44.2498123], [-76.5516158, 44.2498253], [-76.5509713, 44.2499738], [-76.5503465, 44.2501617], [-76.5497461, 44.2503874], [-76.5491746, 44.2506494], [-76.5480627, 44.2512315], [-76.5470525, 44.2517867]], ""type"": ""LineString""}","44.25050462687163, -76.54982198352454"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,,"{""coordinates"": [[-76.5473337, 44.2518231], [-76.5478062, 44.2515525], [-76.5482066, 44.2513348], [-76.5486264, 44.2510984], [-76.5490128, 44.250885], [-76.549377, 44.2506963], [-76.5496014, 44.2505871], [-76.5499299, 44.2504438], [-76.5502957, 44.2503123], [-76.5505744, 44.2502207], [-76.5508337, 44.2501437], [-76.5511834, 44.2500491], [-76.5514489, 44.2499925], [-76.5518587, 44.2499175], [-76.5522381, 44.2498715], [-76.5527705, 44.2498223]], ""type"": ""LineString""}","44.25058759451971, -76.54997235649195"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Joint Reconstruction,1.5,"{""coordinates"": [[-76.4983538, 44.2597838], [-76.5011059, 44.259577], [-76.5021986, 44.2595316], [-76.5027651, 44.2595218]], ""type"": ""LineString""}","44.259629497729875, -76.50055826370269"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Joint Reconstruction,1.5,"{""coordinates"": [[-76.5097411, 44.2593692], [-76.5102817, 44.2593563], [-76.5108563, 44.2593221], [-76.5116189, 44.2592796], [-76.512614, 44.2592073], [-76.5135061, 44.259146], [-76.5143111, 44.2591067]], ""type"": ""LineString""}","44.25924549407382, -76.51202642590992"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Joint Reconstruction,1.5,"{""coordinates"": [[-76.5145049, 44.2589302], [-76.5134962, 44.2589792], [-76.5113959, 44.2591222], [-76.5094706, 44.2591779]], ""type"": ""LineString""}","44.25906942768306, -76.51198841857014"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Development Charge Project,,"{""coordinates"": [[-76.5224906, 44.2590394], [-76.5259608, 44.2590324]], ""type"": ""LineString""}","44.2590359, -76.5242257"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Development Charge Project,,"{""coordinates"": [[-76.5259608, 44.2590324], [-76.5269831, 44.2590258], [-76.5271671, 44.2590281]], ""type"": ""LineString""}","44.25902877203913, -76.52656395446597"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Development Charge Project,,"{""coordinates"": [[-76.5272278, 44.2588572], [-76.5261246, 44.258862]], ""type"": ""LineString""}","44.2588596, -76.5266762"
Buffered Bike Lane + Flex Bollards,,Constructed,Development Charge Project,1.5,"{""coordinates"": [[-76.5327792, 44.2591949], [-76.5323957, 44.2591999], [-76.5320123, 44.2591968], [-76.5316293, 44.2591856], [-76.531201, 44.2591526], [-76.5307741, 44.2591121], [-76.5303488, 44.259064], [-76.5295384, 44.2589718], [-76.5288703, 44.2589184]], ""type"": ""LineString""}","44.259094306540824, -76.53082284458141"
Buffered Bike Lane + Flex Bollards,,Constructed,Development Charge Project,1.5,"{""coordinates"": [[-76.5379285, 44.258709], [-76.534483, 44.2590802], [-76.533917, 44.2591336], [-76.5333488, 44.2591718], [-76.5327792, 44.2591949]], ""type"": ""LineString""}","44.2589781577253, -76.53535593860663"
Buffered Bike Lane + Flex Bollards,,Constructed,Development Charge Project,1.5,"{""coordinates"": [[-76.5405757, 44.2579667], [-76.5403181, 44.258107], [-76.5400427, 44.2582342], [-76.539863, 44.2583076], [-76.5396796, 44.2583762], [-76.5394928, 44.2584398], [-76.5394323, 44.2584585], [-76.5393707, 44.2584752], [-76.5393082, 44.25849], [-76.5389702, 44.2585494], [-76.5386305, 44.2586034], [-76.5382893, 44.2586517]], ""type"": ""LineString""}","44.258392473106525, -76.53945859218584"
Buffered Bike Lane,,Constructed,Development Charge Project,1.5,"{""coordinates"": [[-76.5417582, 44.2571117], [-76.5417505, 44.2571301], [-76.5417407, 44.257148], [-76.5417288, 44.2571653], [-76.5417149, 44.2571818], [-76.5416992, 44.2571974], [-76.5416818, 44.257212], [-76.5416626, 44.2572255], [-76.5413836, 44.2574304], [-76.5411716, 44.257572], [-76.5407717, 44.2578432], [-76.5405757, 44.2579667]], ""type"": ""LineString""}","44.25755828333538, -76.54118465862385"
Buffered Bike Lane + Flex Bollards,Diamond Symbol,Constructed,Joint Reconstruction,1.5,"{""coordinates"": [[-76.51894, 44.2589029], [-76.5181219, 44.2589021], [-76.5166902, 44.2589101], [-76.5149879, 44.2589178]], ""type"": ""LineString""}","44.258908736047786, -76.51696394769861"
Route,,Constructed,,,"{""coordinates"": [[-76.5841492, 44.266566], [-76.5833143, 44.2665727]], ""type"": ""LineString""}","44.26656935, -76.58373175"
Route,,Constructed,,,"{""coordinates"": [[-76.4703784, 44.2352933], [-76.4685801, 44.2358126], [-76.4681458, 44.2359706]], ""type"": ""LineString""}","44.23562000709265, -76.46925820812041"
Route,,Constructed,,,"{""coordinates"": [[-76.4681458, 44.2359706], [-76.4659705, 44.2368476]], ""type"": ""LineString""}","44.2364091, -76.46705815"
Route,,Constructed,,,"{""coordinates"": [[-76.4659683, 44.2368524], [-76.4635222, 44.2378375]], ""type"": ""LineString""}","44.237344949999994, -76.46474524999999"
Route,,Exists,,,"{""coordinates"": [[-76.458451, 44.2396847], [-76.4580466, 44.2397735], [-76.4575679, 44.2398452], [-76.4569729, 44.2399004], [-76.4561949, 44.2399282]], ""type"": ""LineString""}","44.23984733900287, -76.45732778932167"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5569956, 44.2536383], [-76.5567569, 44.2534279], [-76.5566522, 44.2533421], [-76.5564828, 44.2532021], [-76.5563259, 44.2530802], [-76.5561668, 44.2529412], [-76.5560616, 44.2528347], [-76.5559123, 44.2526808], [-76.5557996, 44.2525485], [-76.555709, 44.2524184], [-76.5555766, 44.2521895], [-76.5555177, 44.2520785], [-76.5554352, 44.2518924]], ""type"": ""LineString""}","44.25282929751351, -76.55613637064434"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5549011, 44.2499887], [-76.5549786, 44.2504393], [-76.5551367, 44.2512072], [-76.5552054, 44.2515781]], ""type"": ""LineString""}","44.25078384379763, -76.55505080103389"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5544123, 44.2482939], [-76.5545611, 44.2485631], [-76.5546302, 44.2487633], [-76.5546671, 44.2489558]], ""type"": ""LineString""}","44.2486160849437, -76.5545633268332"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5850288, 44.2213411], [-76.5850761, 44.2218305], [-76.5852194, 44.2232784], [-76.5853413, 44.2244677], [-76.5854531, 44.2256145], [-76.5855665, 44.2268194], [-76.5856065, 44.2271037], [-76.5856324, 44.2271965], [-76.5856839, 44.2273744], [-76.5857429, 44.2275113]], ""type"": ""LineString""}","44.22443649804366, -76.5853385969753"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.4725834, 44.2793315], [-76.4723246, 44.2796084], [-76.472033, 44.2798681], [-76.4717109, 44.2801085], [-76.4705892, 44.2808034]], ""type"": ""LineString""}","44.28011795730856, -76.47162620627002"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.4680637, 44.283241], [-76.4679562, 44.2834578]], ""type"": ""LineString""}","44.2833494, -76.46800995000001"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.4678546, 44.2836653], [-76.4677268, 44.2840427], [-76.4676505, 44.284427], [-76.4676265, 44.2848144], [-76.4676182, 44.2852587], [-76.4676389, 44.2859083], [-76.4676223, 44.2860537], [-76.467603, 44.28627], [-76.4675934, 44.2865168], [-76.4675925, 44.2868426]], ""type"": ""LineString""}","44.28524278990545, -76.46764943369067"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5486142, 44.2403557], [-76.5486183, 44.2406118], [-76.5486126, 44.2408924], [-76.5486403, 44.241401]], ""type"": ""LineString""}","44.24087852398438, -76.54862100162103"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5488064, 44.2403474], [-76.5487686, 44.2393306]], ""type"": ""LineString""}","44.239839, -76.5487875"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5485521, 44.2393377], [-76.5486142, 44.2403557]], ""type"": ""LineString""}","44.2398467, -76.54858315"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5931736, 44.2323129], [-76.5931534, 44.2320887], [-76.5931082, 44.2315686], [-76.5930729, 44.2312603], [-76.5930532, 44.2311442], [-76.5929888, 44.2309123], [-76.5929133, 44.2307269], [-76.5928433, 44.2305966], [-76.5927372, 44.2304324], [-76.5926189, 44.2302744], [-76.5924992, 44.2301478], [-76.5923864, 44.2300405], [-76.5922546, 44.2299244], [-76.5920789, 44.2297956], [-76.5918277, 44.2296365], [-76.5916215, 44.2295319], [-76.5914179, 44.2294437], [-76.5911414, 44.2293476], [-76.5909449, 44.2292952], [-76.5907403, 44.2292458], [-76.5904318, 44.2291964], [-76.590076, 44.2291451], [-76.5895914, 44.2290543], [-76.5887787, 44.2289401]], ""type"": ""LineString""}","44.230024864611636, -76.59154898800952"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5684224, 44.2183785], [-76.567335, 44.218442]], ""type"": ""LineString""}","44.218410250000005, -76.5678787"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5809416, 44.2177698], [-76.581277, 44.2178033], [-76.5815496, 44.21784], [-76.581856, 44.2179025], [-76.5821832, 44.217998], [-76.5824241, 44.2180899], [-76.5830002, 44.2183297], [-76.5836703, 44.2186134], [-76.5843404, 44.2188971], [-76.584957, 44.2191648], [-76.5852888, 44.2193103]], ""type"": ""LineString""}","44.21843087025951, -76.58314667759801"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5807489, 44.2176785], [-76.5805463, 44.2176827], [-76.579828, 44.2177241]], ""type"": ""LineString""}","44.217698389595405, -76.58028833599953"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5798678, 44.2178008], [-76.5804051, 44.2177725], [-76.5805739, 44.2177678], [-76.5807228, 44.2177633], [-76.580862, 44.2177662], [-76.5809416, 44.2177698]], ""type"": ""LineString""}","44.21777691348842, -76.58040458321717"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5795188, 44.217752], [-76.5769475, 44.2179108], [-76.574973, 44.218022]], ""type"": ""LineString""}","44.21789002757703, -76.57724607874184"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5742228, 44.2181469], [-76.574843, 44.2181113]], ""type"": ""LineString""}","44.2181291, -76.57453290000001"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5740218, 44.2180625], [-76.5736328, 44.2180822]], ""type"": ""LineString""}","44.21807235, -76.5738273"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.4988367, 44.2563265], [-76.5010255, 44.2562192]], ""type"": ""LineString""}","44.25627285, -76.4999311"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5012579, 44.2562097], [-76.5028041, 44.2561336]], ""type"": ""LineString""}","44.25617165, -76.502031"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5030435, 44.2561241], [-76.5037783, 44.2560872]], ""type"": ""LineString""}","44.25610565, -76.5034109"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4857592, 44.2390107], [-76.4863018, 44.2399919]], ""type"": ""LineString""}","44.2395013, -76.4860305"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4955543, 44.2299251], [-76.4955668, 44.2306029]], ""type"": ""LineString""}","44.230264000000005, -76.49556055"
Bike Lane,,Exists,,,"{""coordinates"": [[-76.4955937, 44.2317613], [-76.4956155, 44.2325236]], ""type"": ""LineString""}","44.23214245, -76.49560460000001"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4863626, 44.2401148], [-76.4864589, 44.2402517], [-76.4865729, 44.2403814], [-76.4867033, 44.2405027], [-76.4870112, 44.2407681]], ""type"": ""LineString""}","44.24045676645593, -76.48667046800999"
