CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CYCLE_WIDTH,GeoJSON,geo_point_2d
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5483969, 44.2377234], [-76.5484632, 44.2380512], [-76.5484769, 44.2381968], [-76.5485248, 44.2390366]], ""type"": ""LineString""}","44.23837764577687, -76.5484795294535"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5670379, 44.2184559], [-76.5659525, 44.2185194]], ""type"": ""LineString""}","44.21848765, -76.56649519999999"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5641764, 44.2186166], [-76.5600665, 44.2188415]], ""type"": ""LineString""}","44.21872905, -76.56212145"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5859296, 44.2278142], [-76.5861502, 44.2280727], [-76.5863719, 44.2282678], [-76.586638, 44.2284499], [-76.5868554, 44.2285666], [-76.5870587, 44.2286624], [-76.5872637, 44.2287453], [-76.5874822, 44.2288152], [-76.5877485, 44.2288858], [-76.5879044, 44.2289179], [-76.5881254, 44.2289616], [-76.588602, 44.2290266]], ""type"": ""LineString""}","44.22860010251172, -76.58717565870657"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5891728, 44.2291058], [-76.590071, 44.2292282], [-76.5904882, 44.2292857], [-76.5907217, 44.2293271], [-76.5909032, 44.2293661], [-76.5910936, 44.2294164], [-76.59128, 44.2294781], [-76.5914948, 44.2295594], [-76.5916599, 44.2296386], [-76.5917628, 44.2296929], [-76.5919992, 44.2298354], [-76.5921188, 44.2299223], [-76.5922387, 44.2300252], [-76.592332, 44.2301141], [-76.5924389, 44.2302227], [-76.5926047, 44.23043], [-76.5926841, 44.2305399], [-76.5927385, 44.2306284], [-76.5928303, 44.2308222], [-76.5928661, 44.2309183], [-76.5929305, 44.2311654], [-76.5929733, 44.2315737], [-76.5930194, 44.2323213]], ""type"": ""LineString""}","44.23015369418983, -76.59165023699748"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5933942, 44.2359838], [-76.5934203, 44.2363615], [-76.5934232, 44.2364684]], ""type"": ""LineString""}","44.236226016143036, -76.59341044359917"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5692513, 44.2183384], [-76.568777, 44.21836]], ""type"": ""LineString""}","44.2183492, -76.56901415"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5887787, 44.2289401], [-76.5882428, 44.2288718], [-76.5880226, 44.2288406], [-76.5878183, 44.2288133], [-76.5876268, 44.2287745], [-76.5874506, 44.2287178], [-76.5872831, 44.22866], [-76.5870837, 44.2285732], [-76.5868522, 44.2284526], [-76.5866431, 44.2283168], [-76.5864653, 44.228185], [-76.5862845, 44.2280219], [-76.5861628, 44.2278923], [-76.5860856, 44.2278008], [-76.5860144, 44.2277004], [-76.5859711, 44.2276309]], ""type"": ""LineString""}","44.22850476648395, -76.5872604748834"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5859711, 44.2276309], [-76.5858835, 44.2274783], [-76.5858156, 44.227345], [-76.5857669, 44.2272308], [-76.5857262, 44.227106], [-76.5856887, 44.2269469], [-76.5856686, 44.2268144], [-76.5856166, 44.2262705], [-76.585478, 44.2248924], [-76.5853414, 44.2235157], [-76.5852069, 44.2221375], [-76.5851458, 44.2213282]], ""type"": ""LineString""}","44.22450669576316, -76.5854525692611"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,,"{""coordinates"": [[-76.5851458, 44.2213282], [-76.5850952, 44.2205934], [-76.5850929, 44.2205084], [-76.5850945, 44.2204144], [-76.5851023, 44.2203203], [-76.5851204, 44.2202186], [-76.5851623, 44.2200823]], ""type"": ""LineString""}","44.22070217544942, -76.58511665618113"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5596795, 44.2188625], [-76.5559597, 44.2190361]], ""type"": ""LineString""}","44.2189493, -76.5578196"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5746568, 44.2180237], [-76.5740218, 44.2180625]], ""type"": ""LineString""}","44.2180431, -76.57433929999999"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5733616, 44.2180958], [-76.5715894, 44.2182014]], ""type"": ""LineString""}","44.2181486, -76.5724755"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.4974389, 44.2564135], [-76.4980885, 44.2563835], [-76.4984792, 44.2563427], [-76.4986064, 44.2563389]], ""type"": ""LineString""}","44.25638034451326, -76.49802299618274"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4956791, 44.2306548], [-76.4957, 44.2316138]], ""type"": ""LineString""}","44.2311343, -76.49568955000001"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4864341, 44.2399869], [-76.4859576, 44.2391165]], ""type"": ""LineString""}","44.2395517, -76.48619585"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4871547, 44.240744], [-76.4868485, 44.2404951], [-76.4867218, 44.2403749], [-76.4866105, 44.2402471], [-76.4865155, 44.2401126]], ""type"": ""LineString""}","44.24044584178005, -76.48681687894035"
Route,,Approved for Construction,Joint Reconstruction,,"{""coordinates"": [[-76.4930237, 44.2297026], [-76.4930453, 44.2289351]], ""type"": ""LineString""}","44.22931885, -76.4930345"
Route,,Approved for Construction,Joint Reconstruction,,"{""coordinates"": [[-76.4927464, 44.232192], [-76.4929169, 44.2329735]], ""type"": ""LineString""}","44.23258275, -76.49283165"
Route,,Approved for Construction,Joint Reconstruction,,"{""coordinates"": [[-76.4930038, 44.2305407], [-76.4930237, 44.2297026]], ""type"": ""LineString""}","44.23012165, -76.49301374999997"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4869394, 44.2481789], [-76.4871117, 44.2478492], [-76.4871284, 44.247808], [-76.4871406, 44.2477661], [-76.4871483, 44.2477236], [-76.4874561, 44.2457914]], ""type"": ""LineString""}","44.247002488765666, -76.48725132494536"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4855329, 44.2383572], [-76.4853048, 44.2379421]], ""type"": ""LineString""}","44.23814965, -76.48541885"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4852655, 44.2377625], [-76.4852071, 44.2372521], [-76.4851709, 44.2359102]], ""type"": ""LineString""}","44.23683748668014, -76.48520209153482"
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4360837, 44.2947422], [-76.4359588, 44.2945343], [-76.4358556, 44.2943904], [-76.4357046, 44.2942347], [-76.4355425, 44.294103], [-76.4353697, 44.2940004], [-76.4352293, 44.2939296], [-76.4350559, 44.2938623], [-76.4348809, 44.2937929], [-76.4346972, 44.2937206], [-76.4344594, 44.2936178], [-76.4342227, 44.2935046], [-76.4339085, 44.2933478], [-76.4336526, 44.2932131], [-76.4334582, 44.293118], [-76.4332635, 44.2930064]], ""type"": ""LineString""}","44.29377599178024, -76.43475785247128"
